date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:06:07	286/286	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2030%20May%202020%2001:06:30%20GMT	https://zangsfilms.com/robots.txt		(from )
02:06:07	6350/6350	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2004:02:08%20GMT	https://zangsfilms.com/	C:/bho_ye/bhoye/zangsfilms.com/index.html	(from )
02:06:08	8448/8448	---M--	200	added ('OK')	text/css	etag:%22c9a3e498b83482beb3ae68b45683fc22%22	http://d3hturgrk6vd0p.cloudfront.net/stylesheets/style-8428a4c1.css	C:/bho_ye/bhoye/d3hturgrk6vd0p.cloudfront.net/stylesheets/style-8428a4c1.css	(from https://zangsfilms.com/)
02:06:08	5981/5981	---M--	200	added ('OK')	text/css	etag:%224a00078eb68165fcfa0ec090b232e19e%22	http://d3hturgrk6vd0p.cloudfront.net/stylesheets/magnific-popup-b380c109.css	C:/bho_ye/bhoye/d3hturgrk6vd0p.cloudfront.net/stylesheets/magnific-popup-b380c109.css	(from https://zangsfilms.com/)
02:06:08	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/bho_ye/bhoye/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://zangsfilms.com/)
02:06:10	95821/95821	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-1764d%22	http://code.jquery.com/jquery.min.js	C:/bho_ye/bhoye/code.jquery.com/jquery.min.js	(from https://zangsfilms.com/)
02:06:11	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ca9277d44e18a7c9824a5cfb07b31f75%22	http://connect.facebook.net/en_US/sdk.js	C:/bho_ye/bhoye/connect.facebook.net/en_US/sdk.js	(from https://zangsfilms.com/)
02:06:11	20038/20038	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2030%20May%202020%2001:06:33%20GMT	http://use.typekit.net/rfi5cbj.js	C:/bho_ye/bhoye/use.typekit.net/rfi5cbj.js	(from https://zangsfilms.com/)
02:06:11	26048/26048	---M--	200	added ('OK')	application/javascript	etag:%225659c8f5b31e2fa3d2ac9bc590751e40%22	http://d3hturgrk6vd0p.cloudfront.net/javascripts/all-6e082198.js	C:/bho_ye/bhoye/d3hturgrk6vd0p.cloudfront.net/javascripts/all-6e082198.js	(from https://zangsfilms.com/)
02:06:12	98751/98751	---M-Z	200	added ('OK')	application/javascript	etag:%22580310dcde7e145486d79be6e5257680+gzip%22	https://platform.twitter.com/widgets.js	C:/bho_ye/bhoye/platform.twitter.com/widgets.js	(from https://zangsfilms.com/)
02:06:13	6518/6518	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2264af8bc416eee20bcf4a6933a51f0ca2%22	https://zangsfilms.com/favicon.ico	C:/bho_ye/bhoye/zangsfilms.com/favicon.ico	(from https://zangsfilms.com/)
02:06:15	6311/6311	---M--	200	added ('OK')	image/png	etag:%22168980a3bbd4ed617076f48980fd8f8e%22	http://d3hturgrk6vd0p.cloudfront.net/images/zangs-films@2x-fd1341a3.png	C:/bho_ye/bhoye/d3hturgrk6vd0p.cloudfront.net/images/zangs-films@2x-fd1341a3.png	(from https://zangsfilms.com/)
02:06:15	313/313	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20May%202020%2001:06:38%20GMT	https://zangsfilms.com/blog	C:/bho_ye/bhoye/zangsfilms.com/blog.b.delayed	(from https://zangsfilms.com/)
02:06:18	18506/18506	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2004:02:14%20GMT	https://zangsfilms.com/work/	C:/bho_ye/bhoye/zangsfilms.com/work/index.html	(from https://zangsfilms.com/)
02:06:18	109521/109521	---MC-	200	added ('OK')	text/javascript	date:Sat,%2030%20May%202020%2001:06:36%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/bho_ye/bhoye/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://zangsfilms.com/)
02:06:18	9323/9323	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2004:02:08%20GMT	https://zangsfilms.com/gear/	C:/bho_ye/bhoye/zangsfilms.com/gear/index.html	(from https://zangsfilms.com/)
02:06:18	7559/7559	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2004:02:13%20GMT	https://zangsfilms.com/services/	C:/bho_ye/bhoye/zangsfilms.com/services/index.html	(from https://zangsfilms.com/)
